DATE,CNP16OV
01/01/48,102603
01/02/48,102698
01/03/48,102771
01/04/48,102831
01/05/48,102923
01/06/48,102992
01/07/48,103216
01/08/48,103240
01/09/48,103291
01/10/48,103361
01/11/48,103424
01/12/48,103468
01/01/49,103529
01/02/49,103559
01/03/49,103665
01/04/49,103739
01/05/49,103845
01/06/49,103930
01/07/49,104042
01/08/49,104121
01/09/49,104219
01/10/49,104338
01/11/49,104421
01/12/49,104524
01/01/50,104619
01/02/50,104737
01/03/50,104844
01/04/50,104943
01/05/50,105014
01/06/50,105104
01/07/50,105194
01/08/50,105282
01/09/50,105269
01/10/50,105096
01/11/50,104979
01/12/50,104872
01/01/51,104844
01/02/51,104604
01/03/51,104629
01/04/51,104541
01/05/51,104491
01/06/51,104488
01/07/51,104504
01/08/51,104536
01/09/51,104588
01/10/51,104690
01/11/51,104740
01/12/51,104810
01/01/52,104862
01/02/52,104868
01/03/52,104860
01/04/52,104906
01/05/52,104996
01/06/52,105118
01/07/52,105246
01/08/52,105346
01/09/52,105436
01/10/52,105591
01/11/52,105706
01/12/52,105812
01/01/53,106594
01/02/53,106678
01/03/53,106744
01/04/53,106826
01/05/53,106910
01/06/53,106978
01/07/53,107034
01/08/53,107132
01/09/53,107253
01/10/53,107383
01/11/53,107504
01/12/53,107623
01/01/54,107763
01/02/54,107880
01/03/54,107987
01/04/54,108080
01/05/54,108184
01/06/54,108267
01/07/54,108344
01/08/54,108440
01/09/54,108546
01/10/54,108668
01/11/54,108798
01/12/54,108892
01/01/55,109059
01/02/55,109078
01/03/55,109254
01/04/55,109377
01/05/55,109544
01/06/55,109680
01/07/55,109792
01/08/55,109882
01/09/55,109977
01/10/55,110085
01/11/55,110177
01/12/55,110296
01/01/56,110390
01/02/56,110478
01/03/56,110582
01/04/56,110650
01/05/56,110810
01/06/56,110903
01/07/56,111019
01/08/56,111099
01/09/56,111222
01/10/56,111335
01/11/56,111432
01/12/56,111526
01/01/57,111626
01/02/57,111711
01/03/57,111824
01/04/57,111933
01/05/57,112031
01/06/57,112172
01/07/57,112317
01/08/57,112421
01/09/57,112554
01/10/57,112710
01/11/57,112874
01/12/57,113013
01/01/58,113138
01/02/58,113234
01/03/58,113337
01/04/58,113415
01/05/58,113534
01/06/58,113647
01/07/58,113727
01/08/58,113835
01/09/58,113977
01/10/58,114138
01/11/58,114283
01/12/58,114429
01/01/59,114582
01/02/59,114712
01/03/59,114849
01/04/59,114986
01/05/59,115144
01/06/59,115287
01/07/59,115429
01/08/59,115555
01/09/59,115668
01/10/59,115798
01/11/59,115916
01/12/59,116040
01/01/60,116594
01/02/60,116702
01/03/60,116827
01/04/60,116910
01/05/60,117033
01/06/60,117167
01/07/60,117281
01/08/60,117431
01/09/60,117521
01/10/60,117643
01/11/60,117829
01/12/60,118001
01/01/61,118155
01/02/61,118250
01/03/61,118358
01/04/61,118503
01/05/61,118638
01/06/61,118767
01/07/61,118889
01/08/61,119006
01/09/61,119107
01/10/61,119202
01/11/61,119153
01/12/61,119214
01/01/62,119300
01/02/62,119360
01/03/62,119476
01/04/62,119702
01/05/62,119813
01/06/62,119943
01/07/62,120128
01/08/62,120323
01/09/62,120653
01/10/62,120856
01/11/62,121045
01/12/62,121236
01/01/63,121463
01/02/63,121633
01/03/63,121824
01/04/63,121986
01/05/63,122162
01/06/63,122352
01/07/63,122521
01/08/63,122667
01/09/63,122821
01/10/63,123014
01/11/63,123192
01/12/63,123360
01/01/64,123560
01/02/64,123707
01/03/64,123857
01/04/64,124019
01/05/64,124204
01/06/64,124386
01/07/64,124567
01/08/64,124731
01/09/64,124920
01/10/64,125108
01/11/64,125291
01/12/64,125468
01/01/65,125647
01/02/65,125810
01/03/65,125985
01/04/65,126155
01/05/65,126320
01/06/65,126499
01/07/65,126573
01/08/65,126756
01/09/65,126906
01/10/65,127043
01/11/65,127171
01/12/65,127294
01/01/66,127394
01/02/66,127514
01/03/66,127626
01/04/66,127744
01/05/66,127879
