DATE,LNS12500000
2003-01-01,112746
2003-02-01,113285
2003-03-01,113174
2003-04-01,113168
2003-05-01,112991
2003-06-01,113056
2003-07-01,113313
2003-08-01,113082
2003-09-01,113208
2003-10-01,113583
2003-11-01,113892
2003-12-01,114366
2004-01-01,113905
2004-02-01,114193
2004-03-01,114015
2004-04-01,114087
2004-05-01,114016
2004-06-01,114312
2004-07-01,114338
2004-08-01,114716
2004-09-01,114854
2004-10-01,114828
2004-11-01,115284
2004-12-01,115501
2005-01-01,116007
2005-02-01,115649
2005-03-01,115765
2005-04-01,116639
2005-05-01,116960
2005-06-01,117305
2005-07-01,117278
2005-08-01,117604
2005-09-01,117355
2005-10-01,117552
2005-11-01,117580
2005-12-01,118129
2006-01-01,118337
2006-02-01,118667
2006-03-01,119175
2006-04-01,119336
2006-05-01,119033
2006-06-01,119615
2006-07-01,119680
2006-08-01,119948
2006-09-01,120308
2006-10-01,120609
2006-11-01,120573
2006-12-01,120793
2007-01-01,121159
2007-02-01,121020
2007-03-01,121168
2007-04-01,120325
2007-05-01,120902
2007-06-01,120689
2007-07-01,120960
2007-08-01,120824
2007-09-01,121232
2007-10-01,121378
2007-11-01,121875
2007-12-01,121609
2008-01-01,121435
2008-02-01,121474
2008-03-01,121426
2008-04-01,120708
2008-05-01,120766
2008-06-01,120388
2008-07-01,120206
2008-08-01,119534
2008-09-01,119724
2008-10-01,119349
2008-11-01,118397
2008-12-01,117096
2009-01-01,115818
2009-02-01,114783
2009-03-01,113607
2009-04-01,113298
2009-05-01,112929
2009-06-01,112745
2009-07-01,112406
2009-08-01,112106
2009-09-01,111513
2009-10-01,110949
2009-11-01,111211
2009-12-01,110559
2010-01-01,110613
2010-02-01,110778
2010-03-01,111162
2010-04-01,111854
2010-05-01,112539
2010-06-01,112608
2010-07-01,112248
2010-08-01,111847
2010-09-01,111926
2010-10-01,111723
2010-11-01,111343
2010-12-01,111900
2011-01-01,112248
2011-02-01,112352
2011-03-01,112350
2011-04-01,112222
2011-05-01,112263
2011-06-01,112001
2011-07-01,112193
2011-08-01,112723
2011-09-01,112544
2011-10-01,112923
2011-11-01,113213
2011-12-01,113774
2012-01-01,113755
2012-02-01,114141
2012-03-01,115024
2012-04-01,114371
2012-05-01,114233
2012-06-01,114749
2012-07-01,114575
2012-08-01,114736
2012-09-01,115252
2012-10-01,115570
2012-11-01,115655
2012-12-01,115791
2013-01-01,115653
2013-02-01,115695
2013-03-01,115808
2013-04-01,116014
2013-05-01,116240
2013-06-01,116166
2013-07-01,116201
2013-08-01,116417
2013-09-01,116846
2013-10-01,116352
2013-11-01,117078
2013-12-01,117394
2014-01-01,117468
2014-02-01,117734
2014-03-01,117959
2014-04-01,118433
2014-05-01,118791
2014-06-01,118229
2014-07-01,118426
2014-08-01,118715
2014-09-01,119306
2014-10-01,119787
2014-11-01,119717
2014-12-01,120138
2015-01-01,120452
2015-02-01,120658
2015-03-01,120981
2015-04-01,120813
2015-05-01,121514
2015-06-01,121021
2015-07-01,121642
2015-08-01,122067
2015-09-01,121760
2015-10-01,122094
2015-11-01,122182
2015-12-01,122757
2016-01-01,123036
2016-02-01,123004
2016-03-01,123590
2016-04-01,123214
2016-05-01,123314
2016-06-01,123784
2016-07-01,124076
2016-08-01,124594
2016-09-01,124237
2016-10-01,124109
2016-11-01,124076
2016-12-01,124126
2017-01-01,124553
2017-02-01,124884
2017-03-01,125626
2017-04-01,126092
2017-05-01,125727
2017-06-01,126180
2017-07-01,126113
2017-08-01,126007
2017-09-01,126780
2017-10-01,126656
2017-11-01,126588
2017-12-01,126459
2018-01-01,126964
2018-02-01,127544
2018-03-01,127447
2018-04-01,127935
2018-05-01,128805
2018-06-01,128859
2018-07-01,129213
2018-08-01,128704
2018-09-01,129029
2018-10-01,129240
2018-11-01,129632
2018-12-01,129618
2019-01-01,129622
2019-02-01,129961
2019-03-01,129792
2019-04-01,129831
2019-05-01,129938
2019-06-01,130459
2019-07-01,130713
2019-08-01,130860
2019-09-01,131281
2019-10-01,131595
2019-11-01,131520
2019-12-01,131565
2020-01-01,130830
2020-02-01,130762
2020-03-01,128927
2020-04-01,114276
2020-05-01,116470
2020-06-01,119305
2020-07-01,120033
2020-08-01,122424
2020-09-01,122584
2020-10-01,123754
2020-11-01,124471
2020-12-01,124871
2021-01-01,125099
2021-02-01,125014
2021-03-01,125821
2021-04-01,126280
2021-05-01,126458
2021-06-01,126213
2021-07-01,127514
2021-08-01,127409
2021-09-01,128072
2021-10-01,128467
2021-11-01,129479
2021-12-01,130278
2022-01-01,131151
2022-02-01,131783
2022-03-01,132587
2022-04-01,132017
2022-05-01,132743
2022-06-01,132558
2022-07-01,132565
2022-08-01,132336
2022-09-01,132575
2022-10-01,132179
2022-11-01,132300
2022-12-01,132299
