Row Labels,Average of MORTGAGE15US
2003,5.170943396
Jan,5.304
Feb,5.22
Mar,5.065
Apr,5.1175
May,4.86
Jun,4.6275
Jul,4.9675
Aug,5.588
Sep,5.4575
Oct,5.274
Nov,5.2725
Dec,5.204
2004,5.206153846
Jan,5.015
Feb,4.9375
Mar,4.74
Apr,5.158
May,5.6375
Jun,5.66
Jul,5.464
Aug,5.26
Sep,5.144
Oct,5.115
Nov,5.135
Dec,5.178
2005,5.417884615
Jan,5.1725
Feb,5.15
Mar,5.464
Apr,5.4075
May,5.28
Jun,5.168
Jul,5.2775
Aug,5.4
Sep,5.358
Oct,5.625
Nov,5.8625
Dec,5.816
2006,6.066346154
Jan,5.71
Feb,5.86
Mar,5.968
Apr,6.155
May,6.205
Jun,6.306
Jul,6.39
Aug,6.198
Sep,6.0775
Oct,6.05
Nov,5.956
Dec,5.88
2007,6.025192308
Jan,5.965
Feb,6.02
Mar,5.884
Apr,5.8825
May,5.968
Jun,6.34
Jul,6.36
Aug,6.234
Sep,6.0475
Oct,6.04
Nov,5.85
Dec,5.7525
2008,5.617169811
Jan,5.288
Feb,5.44
Mar,5.42
Apr,5.465
May,5.6
Jun,5.91
Jul,5.972
Aug,6.025
Sep,5.64
Oct,5.892
Nov,5.79
Dec,5.038
2009,4.573846154
Jan,4.7175
Feb,4.7725
Mar,4.6375
Apr,4.5
May,4.515
Jun,4.9025
Jul,4.692
Aug,4.6125
Sep,4.4925
Oct,4.39
Nov,4.3425
Dec,4.392
2010,4.095576923
Jan,4.435
Feb,4.3675
Mar,4.33
Apr,4.418
May,4.2775
Jun,4.175
Jul,4.04
Aug,3.9075
Sep,3.81
Oct,3.66
Nov,3.6825
Dec,4.058
2011,3.684230769
Jan,4.0875
Feb,4.215
Mar,4.08
Apr,4.055
May,3.8225
Jun,3.694
Jul,3.68
Aug,3.46
Sep,3.318
Oct,3.3475
Nov,3.305
Dec,3.246
2012,2.934423077
Jan,3.2
Feb,3.1625
Mar,3.198
Apr,3.1425
May,3.034
Jun,2.9525
Jul,2.845
Aug,2.86
Sep,2.8025
Oct,2.6925
Nov,2.662
Dec,2.6575
2013,3.100769231
Jan,2.696
Feb,2.7675
Mar,2.7575
Apr,2.66
May,2.722
Jun,3.1675
Jul,3.43
Aug,3.488
Sep,3.5225
Oct,3.274
Nov,3.2975
Dec,3.4825
2014,3.286037736
Jan,3.48
Feb,3.35
Mar,3.36
Apr,3.3925
May,3.29
Jun,3.265
Jul,3.236
Aug,3.2475
Sep,3.3075
Oct,3.21
Nov,3.1875
Dec,3.128
2015,3.0875
Jan,2.985
Feb,3.0075
Mar,3.04
Apr,2.942
May,3.0625
Jun,3.1925
Jul,3.214
Aug,3.1275
Sep,3.095
Oct,3.01
Nov,3.1625
Dec,3.206
2016,2.930769231
Jan,3.155
Feb,2.96
Mar,2.966
Apr,2.87
May,2.8425
Jun,2.842
Jul,2.7475
Aug,2.745
Sep,2.756
Oct,2.7625
Nov,3.0275
Dec,3.428
2017,3.2725
Jan,3.3875
Feb,3.38
Mar,3.414
Apr,3.3
May,3.255
Jun,3.174
Jul,3.235
Aug,3.16
Sep,3.105
Oct,3.2
Nov,3.288
Dec,3.385
2018,4.000192308
Jan,3.4825
Feb,3.785
Mar,3.91
Apr,3.925
May,4.066
Jun,4.04
Jul,4.0075
Aug,4.018
Sep,4.08
Oct,4.2475
Nov,4.282
Dec,4.09
2019,3.391730769
Jan,3.906
Feb,3.8
Mar,3.7175
Apr,3.605
May,3.534
Jun,3.2375
Jul,3.2025
Aug,3.082
Sep,3.115
Oct,3.142
Nov,3.1575
Dec,3.1775
2020,2.60490566
Jan,3.072
Feb,2.97
Mar,2.885
Apr,2.804
May,2.6925
Jun,2.6025
Jul,2.52
Aug,2.475
Sep,2.385
Oct,2.346
Nov,2.305
Dec,2.218
2021,2.271923077
Jan,2.2
Feb,2.2375
Mar,2.3925
Apr,2.364
May,2.28
Jun,2.27
Jul,2.18
Aug,2.145
Sep,2.184
Oct,2.3075
Nov,2.3575
Dec,2.348
2022,4.583846154
Jan,2.66
Feb,2.9975
Mar,3.39
Apr,4.215
May,4.435
Jun,4.652
Jul,4.6125
Aug,4.5625
Sep,5.35
Oct,6.145
Nov,6.1375
Dec,5.668
Grand Total,4.066494253
