Observation_date,Price Index,Employed,New House Supply Rate,Population,Mortgage Rate,Personal Income,GDP,Unemployment Rate,Houseownership Rate,New One Family House,Inflation Rate,Consumer Credit Rate,Floor Area West Census Region
01/01/03,128.5,112746,4,219897,5.3,9290.1,11174.1,5.8,68,341,2.3,6.4,2198
01/02/03,129.4,113285,4.5,220114,5.2,9296.2,11174.1,5.9,68,341,2.3,6.6,2198
01/03/03,130.1,113174,4.1,220317,5.1,9333.8,11174.1,5.9,68,338,2.3,4.7,2198
01/04/03,130.9,113168,4.1,220540,5.1,9356.4,11312.8,6,68,340,2.3,7.7,2141
01/05/03,131.7,112991,3.9,220768,4.9,9414.4,11312.8,6.1,68,343,2.3,8,2141
01/06/03,132.6,113056,3.5,221014,4.6,9455.3,11312.8,6.3,68,343,2.3,3.4,2141
01/07/03,133.8,113313,3.6,221252,5,9491.6,11566.7,6.2,68.4,342,2.3,4,2195
01/08/03,135,113082,3.5,221507,5.6,9538.8,11566.7,6.1,68.4,346,2.3,5.3,2195
01/09/03,136.3,113208,3.8,221779,5.5,9582.5,11566.7,6.1,68.4,350,2.3,4.7,2195
01/10/03,137.5,113583,3.8,222039,5.3,9620.4,11772.2,6,68.6,361,2.3,4.9,2109
01/11/03,138.8,113892,4.1,222279,5.3,9688.2,11772.2,5.8,68.6,366,2.3,0.5,2109
01/12/03,140.2,114366,4,222509,5.2,9713.2,11772.2,5.7,68.6,370,2.3,6.4,2109
01/01/04,141.6,113905,3.8,222161,5,9731.8,11923.4,5.7,68.6,374,2.7,6.3,2211
01/02/04,143.2,114193,3.7,222357,4.9,9765.4,11923.4,5.6,68.6,372,2.7,4.1,2211
01/03/04,145.1,114015,3.6,222550,4.7,9815.8,11923.4,5.8,68.6,381,2.7,8.2,2211
01/04/04,146.6,114087,4,222757,5.2,9865.8,12112.8,5.6,69.2,383,2.7,1.7,2130
01/05/04,148.2,114016,3.8,222967,5.6,9950,12112.8,5.6,69.2,383,2.7,4.6,2130
01/06/04,149.9,114312,3.9,223196,5.7,9988.4,12112.8,5.6,69.2,383,2.7,4.1,2130
01/07/04,151.3,114338,4.5,223422,5.5,10033,12305.3,5.5,69,400,2.7,5.1,2069
01/08/04,152.6,114716,4.3,223677,5.3,10078.2,12305.3,5.4,69,405,2.7,3.6,2069
01/09/04,154.2,114854,4.1,223941,5.1,10110.5,12305.3,5.4,69,410,2.7,9.4,2069
01/10/04,155.8,114828,3.9,224192,5.1,10159.3,12527.2,5.5,69.2,413,2.7,9.2,2194
01/11/04,157.5,115284,4.3,224422,5.1,10171.5,12527.2,5.4,69.2,418,2.7,3.9,2194
01/12/04,159.3,115501,4.1,224640,5.2,10520.8,12527.2,5.4,69.2,422,2.7,4.7,2194
01/01/05,161.3,116007,4.4,224837,5.2,10247,12527.2,5.3,69.1,441,3.4,2.5,2260
01/02/05,163.3,115649,4.3,225041,5.2,10282.7,12527.2,5.4,69.1,446,3.4,8.1,2260
01/03/05,165.8,115765,4.1,225236,5.5,10347.9,12527.2,5.2,69.1,445,3.4,4.7,2260
01/04/05,167.5,116639,4.3,225441,5.4,10412.1,12922.7,5.2,68.6,445,3.4,6.7,2307
01/05/05,169.4,116960,4.2,225670,5.3,10464.1,12922.7,5.1,68.6,450,3.4,0.1,2307
01/06/05,171.2,117305,4.3,225911,5.2,10498,12922.7,5,68.6,455,3.4,8.2,2307
01/07/05,172.9,117278,4.2,226153,5.3,10558.3,13142.6,5,68.8,464,3.4,5,2291
01/08/05,174.4,117604,4.5,226421,5.4,10619.6,13142.6,4.9,68.8,476,3.4,5.2,2291
01/09/05,176.4,117355,4.7,226693,5.4,10687.7,13142.6,5,68.8,487,3.4,2.4,2291
01/10/05,178,117552,4.5,226959,5.6,10767.3,13324.2,5,69,490,3.4,2.8,2219
01/11/05,179.7,117580,5,227204,5.9,10815.4,13324.2,5,69,502,3.4,3.6,2219
01/12/05,180.9,118129,4.9,227425,5.8,10853.1,13324.2,4.9,69,511,3.4,3.8,2219
01/01/06,182.3,118337,5.3,227553,5.7,11038.6,13599.2,4.7,68.5,523,3.2,0.7,2318
01/02/06,183.3,118667,6.1,227763,5.9,11102.6,13599.2,4.8,68.5,539,3.2,3.8,2318
01/03/06,184.4,119175,5.9,227975,6,11171.8,13599.2,4.7,68.5,552,3.2,5.5,2318
01/04/06,184.3,119336,6.3,228199,6.2,11229.5,13753.4,4.7,68.7,565,3.2,6,2269
01/05/06,184.2,119033,6.2,228428,6.2,11251.1,13753.4,4.6,68.7,565,3.2,4.8,2269
01/06/06,183.5,119615,6.3,228671,6.3,11292.8,13753.4,4.6,68.7,566,3.2,3.7,2269
01/07/06,183.1,119680,7.3,228912,6.4,11322.1,13870.2,4.7,69,572,3.2,3.7,2272
01/08/06,182.6,119948,6.7,229167,6.2,11346.8,13870.2,4.7,69,566,3.2,6.3,2272
01/09/06,182.8,120308,6.7,229420,6.1,11383.9,13870.2,4.5,69,559,3.2,5.5,2272
01/10/06,183.2,120609,7.3,229675,6.1,11417.8,14039.6,4.4,68.9,554,3.2,6.6,2269
01/11/06,183.6,120573,6.6,229905,6,11479.3,14039.6,4.5,68.9,543,3.2,5.6,2269
01/12/06,184.1,120793,6.5,230108,5.9,11587.6,14039.6,4.4,68.9,536,3.2,7.9,2269
01/01/07,184.5,121159,7.2,230650,6,11647.1,14215.7,4.6,68.4,538,2.9,0.6,2258
01/02/07,184.6,121020,7.9,230834,6,11734.2,14215.7,4.5,68.4,544,2.9,5.9,2258
01/03/07,184.2,121168,7.9,231034,5.9,11821.4,14215.7,4.4,68.4,545,2.9,7,2258
01/04/07,183,120325,7.4,231253,5.9,11868.1,14402.1,4.5,68.2,548,2.9,4.5,2282
01/05/07,181.6,120902,7.8,231480,6,11908.7,14402.1,4.4,68.2,545,2.9,7.8,2282
01/06/07,180.3,120689,8.2,231713,6.3,11929.2,14402.1,4.6,68.2,542,2.9,4.4,2282
01/07/07,179.1,120960,8.3,231958,6.4,11955.7,14564.1,4.7,68.2,537,2.9,5.7,2102
01/08/07,178.1,120824,9.2,232211,6.2,11963.1,14564.1,4.6,68.2,533,2.9,9.1,2102
